Provinsi,2017,2018
ACEH,-3859322,3506934
SUMATERA UTARA,808868,33852926
SUMATERA BARAT,-18112734,5130044
RIAU,-462642,-57000948
JAMBI,11295867,3162472
SUMATERA SELATAN,8236954,-11413033
BENGKULU,2488442,2949890
LAMPUNG,19464819,4981874
KEP. BANGKA BELITUNG,-1641247,-3070408
KEP. RIAU,-3387187,-8981640
DKI JAKARTA,45404435,34045189
JAWA BARAT,-46795574,177903066
JAWA TENGAH,-15776293,113662955
DI YOGYAKARTA,2812901,-11153855
JAWA TIMUR,433417213,70875329
BANTEN,23063788,87516228
BALI,-44592223,-26747584
NUSA TENGGARA BARAT,3439850,-12628140
NUSA TENGGARA TIMUR,-2363986,-8885351
KALIMANTAN BARAT,4904355,-18177858
KALIMANTAN TENGAH,9479312,2374701
KALIMANTAN SELATAN,-1310531,1342527
KALIMANTAN TIMUR,-2916437,-15707871
KALIMANTAN UTARA,2214655,-1404852
SULAWESI UTARA,-8115868,-6382524
SULAWESI TENGAH,-36807,-10245785
SULAWESI SELATAN,1958505,-11182097
SULAWESI TENGGARA,-2244167,218122450
GORONTALO,-1074499,-16263173
SULAWESI BARAT,-2585139,-1931173
MALUKU,-1048774,-2398869
MALUKU UTARA,-621454,-3193633
PAPUA BARAT,2705063,-1528656
PAPUA,-932382,-2016468
