Provinsi,2018,2019,2020
ACEH,970.0,3606.9,8241.1
SUMATERA UTARA,8371.8,19749.0,18189.5
SUMATERA BARAT,2309.4,3026.6,3106.2
RIAU,9056.4,26292.2,34117.8
JAMBI,2876.5,4437.4,3511.7
SUMATERA SELATAN,9519.8,16921.1,15824.5
BENGKULU,4902.8,5458.1,5399.2
LAMPUNG,12314.7,2428.9,7120.5
KEP. BANGKA BELITUNG,3112.9,2915.2,1863.8
KEP. RIAU,4386.0,5656.4,14249.0
DKI JAKARTA,49097.4,62094.8,42954.7
JAWA BARAT,42278.2,49284.2,51400.5
JAWA TENGAH,27474.9,18654.7,30606.1
DI YOGYAKARTA,6131.7,6298.8,2683.4
JAWA TIMUR,33333.1,45452.7,55660.6
BANTEN,18637.6,20708.4,31145.7
BALI,1548.8,7393.2,5432.7
NUSA TENGGARA BARAT,4135.1,3519.0,6582.4
NUSA TENGGARA TIMUR,4246.1,3752.6,3028.5
KALIMANTAN BARAT,6591.4,7699.1,9256.5
KALIMANTAN TENGAH,13091.6,8591.9,3710.0
KALIMANTAN SELATAN,9975.2,10061.0,4286.3
KALIMANTAN TIMUR,25942.0,21952.0,25934.0
KALIMANTAN UTARA,1356.8,4400.9,2235.2
SULAWESI UTARA,4320.1,8259.6,3005.6
SULAWESI TENGAH,8488.9,4438.8,5261.3
SULAWESI SELATAN,3275.9,5672.6,9142.0
SULAWESI TENGGARA,1603.4,3827.1,2865.7
GORONTALO,2666.8,844.4,683.6
SULAWESI BARAT,3144.2,1187.2,252.9
MALUKU,1013.5,283.2,474.8
MALUKU UTARA,2276.3,682.7,662.1
PAPUA BARAT,50.9,380.2,1925.4
PAPUA,104.6,567.7,2722.2
