Provinsi,Beras,Minyak Goreng ,Cabai Merah,Telur Ayam
ACEH,12500,21800,39400,25000
SUMATERA UTARA,12800,16700,44000,26650
SUMATERA BARAT,15150,17350,41650,23850
RIAU,12100,18250,66700,26000
KEPULAUAN RIAU,14550,16300,78050,25650
JAMBI,11950,16200,60050,21800
BENGKULU,12850,17600,46200,26050
SUMATERA SELATAN,13100,17750,50200,18950
KEPULAUAN BANGKA BELITUNG,12850,16800,69150,22450
LAMPUNG,12950,20900,72300,20800
BANTEN,17550,17800,60000,22650
JAWA BARAT,12800,17750,46100,19550
DKI JAKARTA,12800,18700,44000,20550
JAWA TENGAH,14200,16850,33150,19050
DI YOGYAKARTA,14500,18700,40600,18750
JAWA TIMUR,11850,16800,36750,19800
BALI,12200,17400,38950,29650
NUSA TENGGARA BARAT,14350,17000,31950,24250
NUSA TENGGARA TIMUR,13650,17250,110900,32500
KALIMANTAN BARAT,12850,17550,71000,22950
KALIMANTAN SELATAN,13100,17950,73650,21050
KALIMANTAN TENGAH,13350,19600,67100,27950
KALIMANTAN TIMUR,13000,17600,59750,29800
KALIMANTAN UTARA,12950,16000,54250,30250
GORONTALO,13700,19000,56950,34750
SULAWESI SELATAN,16250,16200,27950,26300
SULAWESI TENGGARA,18600,17600,50400,33600
SULAWESI TENGAH,13050,18500,49050,29900
SULAWESI UTARA,12650,16700,41850,24550
SULAWESI BARAT,10450,16150,19000,18750
MALUKU,12950,20250,45750,26400
MALUKU UTARA,13700,17000,42900,39900
PAPUA,13000,17800,46400,31500
PAPUA BARAT,13250,20000,53400,35850
